razotajs,modelis,marka,gads,dzinejs,tilpums,nobraukums,cena,apraksts,bilde,saite
Mercedes,ML420,Mercedes ML420,2008,Dīzelis,4.2,330,7500,Mercedes-Benz ML 420 cdi ar oriģinālu Amg paku. Automašīna ir labā gan v,https://i.ss.lv/gallery/4/777/194029/38805629.th2.jpg,/msg/lv/transport/cars/mercedes/ml420/cdpxd.html
Bmw,i3,Bmw i3,2017,Elektro,0,38,21500,"BMW 94Ah, 2017.gada izlaidums, Biznesa pakete. Iespējams līzings ar proc",https://i.ss.lv/gallery/4/758/189480/37895816.th2.jpg,/msg/lv/transport/cars/bmw/i3/cxikmg.html
Bmw,i3,Bmw i3,2015,Elektro,0,39,16900,"BMW i3, 60Ah, 2015. Premium pakete. Pvn 21% iekļauts cenā;  Heat Pump. F",https://i.ss.lv/gallery/4/758/189386/37877058.th2.jpg,/msg/lv/transport/cars/bmw/i3/bolxcx.html
Peugeot,Boxer,Peugeot Boxer,2006,Dīzelis,2.8,650,500,Pegeot Boxer 2.8Hdi 2006  Дефект двигателя.   Было очень много чего сдел,https://i.ss.lv/gallery/4/746/186450/37290000.th2.jpg,/msg/lv/transport/cars/peugeot/boxer/bmxbg.html
Subaru,OUTBACK,Subaru OUTBACK,2014,Benzīns,2.5,140,14000,Auto perfektā tehniskā un vizuālā stāvoklī. Tehniskā apskate izieta bez ,https://i.ss.lv/gallery/4/744/185993/37198500.th2.jpg,/msg/lv/transport/cars/subaru/outback/cdhpo.html
Toyota,Avensis,Toyota Avensis,2013,Benzīns,2.0,120,13000,Auto perfektā tehniskā un vizuālā stāvoklī. Tehniskā apskate izieta bez ,https://i.ss.lv/gallery/4/730/182450/36489828.th2.jpg,/msg/lv/transport/cars/toyota/avensis/kpjxo.html
Land Rover,Freelander,Land Rover Freelander,2001,Benzīns,1.8,173,1200,Подробности по телефону. Звоните только на дополнительный номер.,https://i.ss.lv/gallery/4/777/194028/38805433.th2.jpg,/msg/lv/transport/cars/land-rover/freelander/aonxp.html
Mercedes,GLC 350,Mercedes GLC 350,2019,Dīzelis,3.0,29,55900,"Mercedes-Benz Glc 350 d 4Matic Coupé Amg-Самый мощный дизель, (Время раз",https://i.ss.lv/gallery/4/720/179754/35950641.th2.jpg,/msg/lv/transport/cars/mercedes/glc-350/cxhpdn.html
Mercedes,Vito,Mercedes Vito,2012,Dīzelis,2.2,352,10500,"Машина в хорошем визуальном и техническом состоянии, вложений не требует",https://i.ss.lv/gallery/4/763/190529/38105639.th2.jpg,/msg/lv/transport/cars/mercedes/vito/aknif.html
Peugeot,Bipper,Peugeot Bipper,2009,Dīzelis,1.4,279,1900,"Поменял ремень Грм. Масло. Фильтры также поменял бензо-бак , неделю наза",https://i.ss.lv/gallery/4/777/194027/38805277.th2.jpg,/msg/lv/transport/cars/peugeot/bipper/bedgon.html
Volvo,XC 90,Volvo XC 90,2008,Dīzelis,2.4,283,7250,"Tirgojas Volvo xc90 D5 (185zs) dīzelis Summum komplektācija, automāts, w",https://i.ss.lv/gallery/4/766/191342/38268396.th2.jpg,/msg/lv/transport/cars/volvo/xc90/fnhll.html
Mercedes,Citi,Mercedes Citi,2004,Dīzelis,2.0,278,2000,"Busins prasa ieguldijums, ir rusa.",https://i.ss.lv/gallery/4/777/194027/38805357.th2.jpg,/msg/lv/transport/cars/mercedes/another/gkjmi.html
Volkswagen,Bora,Volkswagen Bora,2000,Dīzelis,1.9,398,900,"Pārdodu so Vw Bora 1.9tdi , ekonomisks ikdienas braucamais ar zemu pater",https://i.ss.lv/gallery/4/766/191277/38255242.th2.jpg,/msg/lv/transport/cars/volkswagen/bora/dxogx.html
Volvo,V60,Volvo V60,2015,Dīzelis,2.0,212,10600,"Super Stāvoklis. R-Design , Volvo V60 , Facelift , D4 133kw , Manuāls.  ",https://i.ss.lv/gallery/4/777/194027/38805235.th2.jpg,/msg/lv/transport/cars/volvo/v60/cxbpil.html
Audi,A6,Audi A6,2003,Dīzelis,1.9,317,2300,"Pārdodu Audi A6 1.9 tdi, 96kw, jauna TA. Auto ļoti labā stāvoklī priekš ",https://i.ss.lv/gallery/4/777/194027/38805253.th2.jpg,/msg/lv/transport/cars/audi/a6/depcm.html
Kia,Ceed,Kia Ceed,2007,Benzīns,2.0,258,2099,"Pārdodu saudzīgi lietotu automašīnu labā vizuālā un tehniskā stāvoklī, i",https://i.ss.lv/gallery/4/721/180097/36019327.th2.jpg,/msg/lv/transport/cars/kia/ceed/digfn.html
Renault,Laguna,Renault Laguna,2009,Dīzelis,2.0,205,3550,"Tikko no Vācijas, Renault Laguna Grandtour 2.0dci 110Kw,   Ekonomisks 2.",https://i.ss.lv/gallery/4/777/194026/38805115.th2.jpg,/msg/lv/transport/cars/renault/laguna/geofc.html
Volvo,V60,Volvo V60,2012,Dīzelis,1.6,266,6700,"Tiem kas vēlas auto bez pārsteiguma, pārdodam Zviedrijas filiāles automa",https://i.ss.lv/gallery/4/769/192156/38431006.th2.jpg,/msg/lv/transport/cars/volvo/v60/bbmjgo.html
Bmw,116,Bmw 116,2009,Dīzelis,2.0,457,2600,"Auto no Vācijas. Divas atslēgas. Nesaplēsts salons, auto labā stāvoklī. ",https://i.ss.lv/gallery/4/777/194026/38805088.th2.jpg,/msg/lv/transport/cars/bmw/116/dhfmb.html
Bmw,550,Bmw 550,2014,Dīzelis,3.0,143,29900,Pārdodu labu M550d  Automašīna labā tehniskā un vizuālā stāvoklī. Visas ,https://i.ss.lv/gallery/4/777/194026/38805074.th2.jpg,/msg/lv/transport/cars/bmw/550/lixmi.html
Land Rover,Range Rover,Land Rover Range Rover,2004,Dīzelis,3.0,210,4090,Продажа/обмен  Range Rover 3.0D 4x4 130kw Ideala tehniska un vizuala sta,https://i.ss.lv/gallery/4/765/191099/38219728.th2.jpg,/msg/lv/transport/cars/land-rover/range-rover/fmbln.html
Volkswagen,Touareg,Volkswagen Touareg,2009,Dīzelis,3.0,256,8800,"В отличном техническом состоянии, только что сделан Т/о, дорожный налог ",https://i.ss.lv/gallery/4/777/194026/38805008.th2.jpg,/msg/lv/transport/cars/volkswagen/touareg/bdjpek.html
Toyota,RAV 4,Toyota RAV 4,2006,Dīzelis,2.2,220,3999,"2.2D-4D, Manuāla Kārba, 4x4 Tikko izieta jauna TA  - Divu Zonu Klimata K",https://i.ss.lv/gallery/4/775/193726/38745161.th2.jpg,/msg/lv/transport/cars/toyota/rav-4/bimgmp.html
Peugeot,2008,Peugeot 2008,2014,Benzīns,1.2,192,6800,Eauto / 1.2 benzīns 60kw. Latvijā nav ekspluatēts. Pirkts jauns pie dīle,https://i.ss.lv/gallery/4/762/190432/38086240.th2.jpg,/msg/lv/transport/cars/peugeot/2008/bolexg.html
Nissan,Qashqai,Nissan Qashqai,2012,Benzīns,1.6,207,7300,"Eauto / 1.6 benzīns 86kw, Automāts. Oriģināls nobraukums. Auto pirkts ja",https://i.ss.lv/gallery/4/764/190856/38171170.th2.jpg,/msg/lv/transport/cars/nissan/qashqai/ofdfg.html
Bmw,535,Bmw 535,2011,Dīzelis,3.0,237,14300,BMW 535d GT. 09.2011 gada. 300zs. Xdrive. Mašīna piereģistrēta un izieta,https://i.ss.lv/gallery/4/776/193945/38788883.th2.jpg,/msg/lv/transport/cars/bmw/535/defgx.html
Skoda,Superb,Skoda Superb,2014,Dīzelis,2.0,170,8200,Pārdodu savu uzticamo ikdienas kompanjonu. Mašīna ideālā tehniskā un viz,https://i.ss.lv/gallery/4/777/194025/38804993.th2.jpg,/msg/lv/transport/cars/skoda/superb/becnik.html
Peugeot,308,Peugeot 308,2013,Benzīns,1.6,129,4100,Eauto / 1.6 benzīns 88kw. Mazs nobraukums. Facelift modelis. Glīts un ak,https://i.ss.lv/gallery/4/762/190275/38054847.th2.jpg,/msg/lv/transport/cars/peugeot/308/blelxe.html
Citroen,C4 Cactus,Citroen C4 Cactus,2015,Dīzelis,1.6,150,8790,"Eauto / Automāts, 1.6 dīzelis 68kw. Latvijā nav ekspluatēts. Pirkts jaun",https://i.ss.lv/gallery/4/774/193359/38671775.th2.jpg,/msg/lv/transport/cars/citroen/c4-cactus/cxmcjc.html
Renault,Scenic,Renault Scenic,2004,Dīzelis,1.9,120,1450,Oficiālais Renault dīleris Valmierā piedāvā iegādāties lietotu automašīn,https://i.ss.lv/gallery/4/777/194026/38805026.th2.jpg,/msg/lv/transport/cars/renault/scenic/enxke.html
Audi,A4,Audi A4,1994,Benzīns,1.6,306,500,"Pārdod Audi A4 - Cena Eur 500  1994.gada decembris, 1.6 benzīns, Sedans ",https://i.ss.lv/gallery/4/777/194026/38805045.th2.jpg,/msg/lv/transport/cars/audi/a4/elghc.html
Honda,Jazz,Honda Jazz,2006,Benzīns,1.3,186,2490,Новый ТО. Ухоженная машина в хорошем визуальном и техничском состоянии. ,https://i.ss.lv/gallery/4/771/192739/38547780.th2.jpg,/msg/lv/transport/cars/honda/jazz/ochkk.html
Renault,Megane,Renault Megane,2007,Dīzelis,1.5,255,1000,"Pārdodu, 1.5d vidēji patērē 5l/100km . Braucamā stāvoklī, Ir defektiņi u",https://i.ss.lv/gallery/4/759/189683/37936413.th2.jpg,/msg/lv/transport/cars/renault/megane/fbixm.html
Bmw,318,Bmw 318,1995,Benzīns,1.8,157,1500,Drīz sāksies sacensību laiks. var paspēt uz pirmo startu pēc garas pauze,https://i.ss.lv/gallery/4/775/193579/38715748.th2.jpg,/msg/lv/transport/cars/bmw/318/aljob.html
Bmw,X5,Bmw X5,2004,Dīzelis,3.0,229,6200,"Pārdodu BMW X5, 3.0D, 160kw/218 zs. Facelift modelis. Auto labā tehniskā",https://i.ss.lv/gallery/4/776/193970/38793995.th2.jpg,/msg/lv/transport/cars/bmw/x5/bgxng.html
Audi,A4,Audi A4,1999,Dīzelis,1.9,294,1500,Pārdodu Audi A4 B5 1.9tdi 81kw / 110zs. Sūkņa motors. Patēriņš ap 5/5.5l,https://i.ss.lv/gallery/4/777/194025/38804873.th2.jpg,/msg/lv/transport/cars/audi/a4/ahilf.html
Toyota,Corolla Verso,Toyota Corolla Verso,2005,Dīzelis,2.2,315,2600,"7 vietas, Tiko izieta, Tehniskā Apskate 2022.03.bez aizrādījumiem, Nodok",https://i.ss.lv/gallery/4/771/192550/38509849.th2.jpg,/msg/lv/transport/cars/toyota/corolla-verso/bdchmc.html
Volvo,V70,Volvo V70,2015,Dīzelis,2.0,178,9390,Машина только зарегистрирована в Латвии.   В хорошем состоянии.   2.0 D1,https://i.ss.lv/gallery/4/777/194025/38804811.th2.jpg,/msg/lv/transport/cars/volvo/v70/blgjlg.html
Honda,Jazz,Honda Jazz,2011,Benzīns,1.3,99,7700,Benzīns Automāts Jauna pirkta Latvijā Klimata kontrole Jauna TA Vieglmet,https://i.ss.lv/gallery/4/765/191153/38230598.th2.jpg,/msg/lv/transport/cars/honda/jazz/nhlfo.html
Rover,75,Rover 75,2004,Dīzelis,2.0,226,1850,"Машина в хорошем техническом состоянии, недавно пройден тех. осмотр. Ско",https://i.ss.lv/gallery/4/777/194024/38804793.th2.jpg,/msg/lv/transport/cars/rover/75/boxei.html
Audi,A4,Audi A4,2002,Dīzelis,1.9,383,1950,"Jauna Ta, Līdz 31.03.2022.vizuali auto labā stāvoklī(arī bez rūsas). mot",https://i.ss.lv/gallery/4/777/194024/38804744.th2.jpg,/msg/lv/transport/cars/audi/a4/dncef.html
Ford,Mondeo,Ford Mondeo,2008,Dīzelis,2.2,245,5490,Vilks jēra āda. Ğimenes auto ar izcilu dinamiku un jaudu pie zema degvie,https://i.ss.lv/gallery/4/753/188040/37607893.th2.jpg,/msg/lv/transport/cars/ford/mondeo/ghogc.html
Opel,Astra,Opel Astra,1999,Benzīns,1.6,305,300,"Продаю авто в рабочем сост. без ТО , на ходу.",https://i.ss.lv/gallery/4/777/194019/38803736.th2.jpg,/msg/lv/transport/cars/opel/astra/fghgh.html
Volkswagen,LT,Volkswagen LT,2005,Dīzelis,2.5,356,6000,"Pārdod nenodzītu darba zigu, 2, 5 Tds. Kravas kaste 3540x2020, alumīnija",https://i.ss.lv/gallery/4/769/192209/38441677.th2.jpg,/msg/lv/transport/cars/volkswagen/lt/ejkgf.html
Mazda,Mazda2,Mazda Mazda2,2007,Benzīns,1.4,193,1200,"Pārdod Mazda 2, motors 1.4 (59 kW) benzīns. Ekonomiska. Apkopes veiktas ",https://i.ss.lv/gallery/3/591/147662/29532227.th2.jpg,/msg/lv/transport/cars/mazda/mazda2/aiklo.html
Audi,A6,Audi A6,2016,Dīzelis,2.0,153,16500,Juridiskā persona pārdod dienesta auto lieliskā stāvoklī. Tika ekspluatē,https://i.ss.lv/gallery/4/760/189896/37979063.th2.jpg,/msg/lv/transport/cars/audi/a6/bchho.html
Volvo,V70,Volvo V70,2011,Dīzelis,1.6,239,5450,"Tikko ievests V70 ar ekonomiskāko 1.6D 80kw motoru šim modelim, patēriņš",https://i.ss.lv/gallery/4/769/192037/38407340.th2.jpg,/msg/lv/transport/cars/volvo/v70/ebmfp.html
Volkswagen,Golf 6,Volkswagen Golf 6,2011,Dīzelis,1.6,317,4590,"Līzings/maiņa. VW Golf 6, 1.6tdi 77kw, 2011. gada, automāts, klimata kon",https://i.ss.lv/gallery/4/777/194023/38804575.th2.jpg,/msg/lv/transport/cars/volkswagen/golf-6/bclnnd.html
Opel,Astra,Opel Astra,2011,Benzīns,1.4,194,4300,"Pārdodu Opel Astra ST 1.4i Turbo Cosmo. 2011. gada, 103kW. Nobraukums: 1",https://i.ss.lv/gallery/4/777/194024/38804653.th2.jpg,/msg/lv/transport/cars/opel/astra/bekdc.html
Mercedes,GLS 350,Mercedes GLS 350,2017,Dīzelis,3.5,64,59900,"Продаётся Mercedes Gls 350, 7 - ми местная. В отличном техническом и виз",https://i.ss.lv/gallery/4/777/194023/38804555.th2.jpg,/msg/lv/transport/cars/mercedes/gls-350/cxgjie.html
Ford,Mondeo,Ford Mondeo,1997,Benzīns,1.8,180,300,"Pārdod auto braukšanas kārtībā. Apskate beidzās 2020. gada decembrī, kop",https://i.ss.lv/gallery/4/721/180154/36030681.th2.jpg,/msg/lv/transport/cars/ford/mondeo/hbdpj.html
Volkswagen,T5,Volkswagen T5,2004,Dīzelis,1.9,302,3600,Отличное техническое состояние. Только что пройден тех. осмотр. Заплачен,https://i.ss.lv/gallery/4/777/194018/38803571.th2.jpg,/msg/lv/transport/cars/volkswagen/t5/gxlfi.html
Fiat,500,Fiat 500,2017,Dīzelis,1.6,62,13490,"Sia Autobrava Motors piedāvā Fiat 500X Pop Star, 1.6d dīzeļa dzinējs, 88",https://i.ss.lv/gallery/4/730/182275/36454870.th2.jpg,/msg/lv/transport/cars/fiat/500/kebhc.html
Bmw,X5,Bmw X5,2006,Dīzelis,3.0,218,7200,Auto ar piegādi mājās. Bez pirmās iemaksas.   Ar jebkādu kredītvēsturi. ,https://i.ss.lv/gallery/4/745/186220/37243929.th2.jpg,/msg/lv/transport/cars/bmw/x5/gdmbo.html
Volvo,V50,Volvo V50,2005,Dīzelis,2.0,184,2450,"Automašīna tikko atvesta, veikta reģistrācija un tehniskā apskate.   Dzi",https://i.ss.lv/gallery/4/777/194023/38804512.th2.jpg,/msg/lv/transport/cars/volvo/v50/ojkog.html
Toyota,Avensis,Toyota Avensis,2003,Dīzelis,2.0,248,2500,"Pardodas Toyota Avensis 2, 0 D4D dīzelis. Virsū labas ziemas riepas. Pat",https://i.ss.lv/gallery/4/773/193142/38628223.th2.jpg,/msg/lv/transport/cars/toyota/avensis/bjflof.html
Mitsubishi,Outlander,Mitsubishi Outlander,2005,Benzīns,2.4,178,2100,"Pārdodu labā tehniskā stāvoklī uzturētu Mitsubishi Outlander, ar tikko s",https://i.ss.lv/gallery/4/777/194023/38804456.th2.jpg,/msg/lv/transport/cars/mitsubishi/outlander/aambh.html
Volkswagen,Passat CC,Volkswagen Passat CC,2013,Benzīns,2.0,107,14000,"Pārdod Passat CC R - Line. 2014. gada modelis, bet pirmā reģistrācija 20",https://i.ss.lv/gallery/4/768/191764/38352750.th2.jpg,/msg/lv/transport/cars/volkswagen/passat-cc/nxfkh.html
Infinity,FX,Infinity FX,2010,Dīzelis,3.0,255,11900,"Pārdodu Infinity fx30 ļoti labā stāvoklī , dinamisks  Oriģināls nobrauku",https://i.ss.lv/gallery/3/492/122855/24570831.th2.jpg,/msg/lv/transport/cars/infiniti/fx/mocbb.html
Bmw,523,Bmw 523,1997,Benzīns,2.5,395,1500,Pārdodu BMW ar diezgan labu komplektāciju. Dzinējam ir mainītas visas bl,https://i.ss.lv/gallery/4/777/194023/38804427.th2.jpg,/msg/lv/transport/cars/bmw/523/bxoig.html
Audi,A5,Audi A5,2011,Benzīns,2.0,191,8900,"Audi A5 Sportback Tfsi M/t. 2011. gada. 2.0l benzīns, 132kw (180zs).    ",https://i.ss.lv/gallery/4/707/176649/35329659.th2.jpg,/msg/lv/transport/cars/audi/a5/podkk.html
Nissan,X-Trail,Nissan X-Trail,2016,Benzīns,1.6,110,15500,"Amserv Liepāja - Nissan X-Trail Tekna, 2016.g. 1, 6L benzīns, mehāniskā ",https://i.ss.lv/gallery/4/675/168536/33707142.th2.jpg,/msg/lv/transport/cars/nissan/x-trail/bcndhi.html
Volvo,XC 90,Volvo XC 90,2009,Dīzelis,2.4,255,8500,Продаю Volvo Xc90 в хорошем техническом состояние. Машина пришла из Фран,https://i.ss.lv/gallery/4/777/194023/38804405.th2.jpg,/msg/lv/transport/cars/volvo/xc90/bgpbnk.html
Peugeot,Expert,Peugeot Expert,2011,Dīzelis,2.0,250,3200,"Pārdodu 9 vietigu Peugeot Expert 2.0 dīzelis. (lielais, jaudigais motors",https://i.ss.lv/gallery/4/751/187727/37545292.th2.jpg,/msg/lv/transport/cars/peugeot/expert/flonk.html
Volkswagen,T5,Volkswagen T5,2007,Dīzelis,2.5,334,3500,Pārdod sakarā ar autoparka izpārdošanu.   -2007. gada  -96kW  -Dīzelis  ,https://i.ss.lv/gallery/4/735/183720/36743859.th2.jpg,/msg/lv/transport/cars/volkswagen/t5/bcheom.html
Volkswagen,Crafter,Volkswagen Crafter,2007,Dīzelis,2.5,115,9700,"Продам в хорошем состоянии Crafter, цена c Pvn? технически полностью исп",https://i.ss.lv/gallery/4/777/194022/38804325.th2.jpg,/msg/lv/transport/cars/volkswagen/crafter/bmddno.html
Audi,A2,Audi A2,2005,Dīzelis,1.4,240,2990,"1.4 dīzelis 55 kw, ievests no saulainās Francijas, piereģistrēts bez nob",https://i.ss.lv/gallery/4/765/191050/38209843.th2.jpg,/msg/lv/transport/cars/audi/a2/chemp.html
Audi,A6,Audi A6,2007,Dīzelis,2.7,350,3650,Pārdodu Audi A6 C6 2.7 Tdi 132kW 2007. gada. Nobraukums: 349838. Auto te,https://i.ss.lv/gallery/4/777/194022/38804347.th2.jpg,/msg/lv/transport/cars/audi/a6/eiokn.html
Renault,Master,Renault Master,2020,Dīzelis,2.0,12,28500,"Renault Master 3, 5 T L4H3 2.3 dCi    -Rūpnīcas garantija  -Jauns auto a",https://i.ss.lv/gallery/4/770/192413/38482563.th2.jpg,/msg/lv/transport/cars/renault/master/ecxcc.html
Mercedes,C220,Mercedes C220,2009,Dīzelis,2.2,194,5855,"Avangard komplektācija 2.2 dīzelis 125 kw pirkts izsolē Vācijā, piereģis",https://i.ss.lv/gallery/4/777/194022/38804356.th2.jpg,/msg/lv/transport/cars/mercedes/c220/amojl.html
Porsche,Cayenne,Porsche Cayenne,2008,Benzīns,3.6,231,8950,Iespējama maiņa. Nokārtosim līzingu. Līzinga maksājums no 112eur mēnesī.,https://i.ss.lv/gallery/4/776/193811/38762100.th2.jpg,/msg/lv/transport/cars/porsche/cayenne/bclobg.html
Ford,Focus,Ford Focus,2005,Dīzelis,2.0,327,1699,Ford Focus 2.0D labākais un uzticamākais dzinējs savā klasē. 98kw dzinēj,https://i.ss.lv/gallery/4/777/194022/38804263.th2.jpg,/msg/lv/transport/cars/ford/focus/cdhli.html
Audi,A4,Audi A4,2010,Dīzelis,2.0,287,6900,Audi a4 b8 . 105kw .Auto tikko piereģistrēts Latvijā un izieta tehniskā ,https://i.ss.lv/gallery/4/777/194021/38804199.th2.jpg,/msg/lv/transport/cars/audi/a4/clmij.html
Volvo,V70,Volvo V70,2008,Dīzelis,2.4,300,4750,"Pārdodam savu Volvo V70, 136 kW D5 motors. Pagājušajā vasarā ielikts jau",https://i.ss.lv/gallery/4/777/194022/38804220.th2.jpg,/msg/lv/transport/cars/volvo/v70/bxipbe.html
Bmw,530,Bmw 530,2002,Dīzelis,3.0,300,1399,"Nodokli nomaksati. Tehniski laba stavokli, karba strada nevainojami. Ir ",https://i.ss.lv/gallery/4/777/194021/38804192.th2.jpg,/msg/lv/transport/cars/bmw/530/bdkkcg.html
Gaz,24,Gaz 24,1987,Benzīns,2.4,51,8500,"Pārdodu perfektu Volgu. Nav metināta , nav pārkrāsota. Jauns izpūtējs. J",https://i.ss.lv/gallery/4/777/194021/38804122.th2.jpg,/msg/lv/transport/cars/gaz/24/ekpik.html
Dacia,Duster,Dacia Duster,2015,Dīzelis,1.5,104,9900,Dacia Duster 4x4 1.5dci 80kw.   Labā tehniskā stāviklī.   Auto pirkts ja,https://i.ss.lv/gallery/4/777/194021/38804166.th2.jpg,/msg/lv/transport/cars/dacia/duster/blmxml.html
Volkswagen,Transporter,Volkswagen Transporter,2006,Dīzelis,2.5,135,5700,"VW Transporter ar kravas kasti, 135127km nobraukums(patiess) 2.5 dīzelis",https://i.ss.lv/gallery/4/771/192609/38521770.th2.jpg,/msg/lv/transport/cars/volkswagen/transporter/bxpxd.html
Ford,Focus,Ford Focus,2004,Benzīns,1.6,166,1290,"Ford Focus 1.6 Bendzīns, Tiešām labā stāvoklī. 5 Ātrumu manuālā kārba.  ",https://i.ss.lv/gallery/4/772/192801/38560154.th2.jpg,/msg/lv/transport/cars/ford/focus/cbhlf.html
Bmw,X5,Bmw X5,2001,Dīzelis,3.0,384,4350,"Jauna TA 04.2022  Bez rūsas, bez avārijām, ar oriģinālo krāsojumu un nob",https://i.ss.lv/gallery/4/744/185787/37157281.th2.jpg,/msg/lv/transport/cars/bmw/x5/bilgn.html
Audi,A4,Audi A4,2005,Dīzelis,2.0,304,4890,Audi A4 B7 2.0Tdi 103kw. Pilnākā komplektācija no rūpnīcas. Otru tādu bū,https://i.ss.lv/gallery/4/776/193981/38796159.th2.jpg,/msg/lv/transport/cars/audi/a4/bjeff.html
Mercedes,C270,Mercedes C270,2002,Dīzelis,2.7,271,1950,Pardod normalu auto ieguldijumus neprasa ar tiko izietu apskati.,https://i.ss.lv/gallery/4/777/194020/38803909.th2.jpg,/msg/lv/transport/cars/mercedes/c270/bxklg.html
Audi,A4,Audi A4,2005,Dīzelis,2.0,330,2900,"Tehniski ideālā stāvoklī, vizuāli ir defekti. Līdzi nāk vieglmetāla disk",https://i.ss.lv/gallery/4/777/194021/38804055.th2.jpg,/msg/lv/transport/cars/audi/a4/ekixg.html
Mercedes,E220,Mercedes E220,2017,Dīzelis,2.0,163,27500,"E220 Amg Line , jauna Tehniskā apskate , jaunas riepas, viena no pilnāka",https://i.ss.lv/gallery/4/777/194021/38804085.th2.jpg,/msg/lv/transport/cars/mercedes/e220/bbdkob.html
Audi,A4,Audi A4,1997,Dīzelis,1.9,430,1300,"Pardod Audi A4 1.9 dizels, automats, tehniska Apskate lidz 12.2021  Nodo",https://i.ss.lv/gallery/4/759/189608/37921529.th2.jpg,/msg/lv/transport/cars/audi/a4/cghml.html
Dacia,Logan,Dacia Logan,2006,Benzīns,1.4,155,880,"Pàrdod Dacia Logan, priekś braukśanas viss savests kàrtîbà, vizuàli defe",https://i.ss.lv/gallery/4/777/194021/38804110.th2.jpg,/msg/lv/transport/cars/dacia/logan/dlmmm.html
Toyota,Auris,Toyota Auris,2008,Benzīns,1.6,196,4140,Pārdod auto. Kopts un saudzēts. Nelieli vizuāli defekti (aizmugurējais b,https://i.ss.lv/gallery/4/776/193939/38787750.th2.jpg,/msg/lv/transport/cars/toyota/auris/bkkxlh.html
Opel,Zafira,Opel Zafira,2005,Dīzelis,2.0,250,1650,"Pārdodu opel zafiru, 2005.gada 2, 0dizeli.   Sīkāk par telefonu.   Cena ",https://i.ss.lv/gallery/4/777/194021/38804075.th2.jpg,/msg/lv/transport/cars/opel/zafira/bfgke.html
Volkswagen,Tiguan,Volkswagen Tiguan,2011,Dīzelis,2.0,134,9000,"Tiek pārdots Volkswagen Tiguan, automašīna tehniskus ieguldījumus nepras",https://i.ss.lv/gallery/4/765/191039/38207648.th2.jpg,/msg/lv/transport/cars/volkswagen/tiguan/cxbilm.html
